sample_id,result_dir,mask_ratio,method,layer,n,rmse,mae,cos,pearson_r
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,gt_positive,530884,0.07046713282804572,0.021617093801111615,0.9641435074353263,0.9600688811938801
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,gt_positive,319430,0.07407538232038778,0.026575829498818763,0.9647401987885983,0.9601191540080014
151673,seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,gt_positive,293387,0.080178481608819,0.028817296227358305,0.9497145872608227,0.9434969380023319
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,gt_positive,770276,0.08935486767816725,0.025912163208144694,0.9236544369288533,0.9159688455397548
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,gt_positive,229563,0.0763670527054652,0.02524418906401279,0.9494424219662513,0.9443419163092136
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,gt_positive,318555,0.08174244543743993,0.02699003824022704,0.9397200218559951,0.9328043093357113
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,Mean Baseline,gt_positive,290775,0.084529423497266,0.02504284957191618,0.9446713554943069,0.9403969322638097
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,Mean Baseline,gt_positive,248539,0.0855785481478394,0.02484913158566108,0.9429427451582733,0.9389718288129479
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,Mean Baseline,gt_positive,275983,0.09064893539751827,0.030084625836080854,0.9456420191852057,0.9401760728098357
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,Mean Baseline,gt_positive,264068,0.08987020335675312,0.028910681891519494,0.9442705216041587,0.9394260969576115
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,gt_positive,379565,0.07882608628425038,0.02368683682234397,0.9561047305768401,0.9521142631869438
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,gt_positive,254185,0.0732689310140896,0.022517190805628213,0.9647098938300577,0.9616793250063209
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,gt_positive,530884,0.07976808698845987,0.021778620720181274,0.9544954698718716,0.9505374180306725
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,gt_positive,319430,0.07729522343477115,0.02437682310585042,0.9611850810616562,0.9575662241770805
151673,seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,gt_positive,293387,0.08467415832941232,0.027630601131424362,0.9444807411239065,0.9395275110253558
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,gt_positive,770276,0.09501061752339308,0.026288387034485647,0.9139568744383458,0.9069570648580368
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,gt_positive,229563,0.08061935061997486,0.026029401130746848,0.944674466008906,0.9406523510831362
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,gt_positive,318555,0.08704936960151971,0.027178747204338837,0.9323086244251682,0.9266885229655951
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,Multiple Imputation,gt_positive,290775,0.08477412577253929,0.02568971637955522,0.9441584570409004,0.9381196495003692
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,Multiple Imputation,gt_positive,248539,0.08488699763439488,0.024785615605436528,0.9437988896335182,0.9381329612837437
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,Multiple Imputation,gt_positive,275983,0.09057237394744096,0.030067766617205168,0.9454939059093469,0.9382472730194137
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,Multiple Imputation,gt_positive,264068,0.08900513602036833,0.02847161747526619,0.9452371210856229,0.9387683090432491
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,gt_positive,379565,0.07917380744667142,0.024403649063100222,0.9556938930809465,0.9503568338203787
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,gt_positive,254185,0.07273114619001164,0.022519751681006738,0.9653255999412831,0.9612311076077775
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,gt_positive,530884,0.08057626347352191,0.023014372286234847,0.9536824310360796,0.9485843081736743
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,gt_positive,319430,0.07746886563385778,0.024575517936990254,0.9609779855570307,0.956015002264154
151673,seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,gt_positive,293387,0.08589581939713599,0.027851326677625538,0.9423411909570821,0.9355484954268558
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,gt_positive,770276,0.09500509427372635,0.027931907936247505,0.9136316474147863,0.9045921540436515
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,gt_positive,229563,0.0817347657546259,0.025892620628646574,0.9428528807789845,0.9370366125119299
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,gt_positive,318555,0.08726073914627244,0.02784002207521153,0.9318996143801425,0.9243037714402277
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,SoftImpute,gt_positive,290775,0.21081705303587867,0.06872623116297302,0.6859989050272511,0.6657991687802838
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,SoftImpute,gt_positive,248539,0.20897434194364528,0.0674534523337371,0.6845249754942345,0.6667286086634593
